Category,Mean_Accuracy,Std_Deviation,Pairs_Evaluated
Car,0.7223076923076923,0.3213190884580234,780
Duck,0.7726530612244898,0.30438144376251886,1225
Face,0.8693085287121984,0.1830501639066791,5886
Motorbike,0.8837179487179486,0.19109407653849433,780
Winebottle,0.9231235431235432,0.16743376697123613,2145
